数据文件：traffic.data
分析周期：10 s


>>>>> 时间段：2018-07-10 02:52:22 --> 2018-07-10 02:52:32
----------------------
UDP数据包个数：	342
UDP数据流量：	9841 bytes
----------------------
TCP连接个数：	37
TCP数据包个数：	1224
TCP数据总流量：	429858 bytes
TCP数据上传量：	80035 bytes
TCP数据下载量：	349823 bytes
-----------------------
183.232.231.117	443	==>	10.164.1.138	34324	上传包数量：20	下载包数量：19	upload：20230 bytes	download：1862 bytes	
10.164.1.138	54206	==>	101.201.173.115	443	上传包数量：4	下载包数量：0	upload：128 bytes	download：0 bytes	
10.164.1.138	52418	==>	111.13.105.104	443	上传包数量：4	下载包数量：0	upload：80 bytes	download：0 bytes	
10.164.1.138	52420	==>	111.13.105.104	443	上传包数量：4	下载包数量：0	upload：80 bytes	download：0 bytes	
10.164.1.138	60930	==>	111.13.100.92	443	上传包数量：9	下载包数量：7	upload：242 bytes	download：226 bytes	
10.164.1.138	60928	==>	111.13.100.92	443	上传包数量：3	下载包数量：0	upload：60 bytes	download：0 bytes	
10.164.1.138	60932	==>	111.13.100.92	443	上传包数量：30	下载包数量：29	upload：2962 bytes	download：34110 bytes	
222.22.29.95	443	==>	10.164.1.138	35206	上传包数量：6	下载包数量：9	upload：1290 bytes	download：494 bytes	
10.164.1.138	54656	==>	111.13.100.91	443	上传包数量：2	下载包数量：0	upload：40 bytes	download：0 bytes	
183.232.231.65	443	==>	10.164.1.138	37166	上传包数量：12	下载包数量：10	upload：12651 bytes	download：2801 bytes	
222.24.122.79	443	==>	10.164.1.138	39628	上传包数量：10	下载包数量：12	upload：6616 bytes	download：343 bytes	
222.24.122.79	443	==>	10.164.1.138	39622	上传包数量：7	下载包数量：9	upload：2402 bytes	download：1100 bytes	
10.164.1.138	55078	==>	111.48.60.48	443	上传包数量：10	下载包数量：5	upload：863 bytes	download：276 bytes	
10.164.1.138	55026	==>	111.48.60.48	443	上传包数量：66	下载包数量：71	upload：4223 bytes	download：71222 bytes	
10.164.1.138	55052	==>	111.48.60.48	443	上传包数量：22	下载包数量：39	upload：2178 bytes	download：34774 bytes	
10.164.1.138	55066	==>	111.48.60.48	443	上传包数量：6	下载包数量：5	upload：140 bytes	download：160 bytes	
10.164.1.138	55034	==>	111.48.60.48	443	上传包数量：71	下载包数量：73	upload：3351 bytes	download：68172 bytes	
10.164.1.138	55038	==>	111.48.60.48	443	上传包数量：56	下载包数量：53	upload：6447 bytes	download：31681 bytes	
10.164.1.138	55064	==>	111.48.60.48	443	上传包数量：9	下载包数量：8	upload：812 bytes	download：372 bytes	
10.164.1.138	55068	==>	111.48.60.48	443	上传包数量：9	下载包数量：8	upload：812 bytes	download：372 bytes	
10.164.1.138	55020	==>	111.48.60.48	443	上传包数量：36	下载包数量：36	upload：3727 bytes	download：26684 bytes	
10.164.1.138	55072	==>	111.48.60.48	443	上传包数量：5	下载包数量：4	upload：120 bytes	download：128 bytes	
10.164.1.138	55062	==>	111.48.60.48	443	上传包数量：5	下载包数量：4	upload：120 bytes	download：128 bytes	
10.164.1.138	55036	==>	111.48.60.48	443	上传包数量：47	下载包数量：43	upload：2712 bytes	download：32933 bytes	
10.164.1.138	55040	==>	111.48.60.48	443	上传包数量：34	下载包数量：33	upload：3706 bytes	download：18079 bytes	
